Ref,Qty,Value,Footprint,Link,Part No.,
BOX401 ,1,Chassis Box,Oddities:Dummy_Empty,<a href="https://www.digikey.com/products/en?keywords=1554F2GYCL">Link</a>,HM1796-ND
BT301 ,1,CR1220,Oddities:BC501SM_CR1220_BAT_Handsolder,<a href="https://www.digikey.com/products/en?keywords=BC501SM-ND">Link</a>,BC501SM-ND
C110 C138 ,2,10nF,Capacitors_SMD:C_0805_HandSoldering,<a href="http://www.digikey.com/products/en?keywords=311-1136-1-ND">Link</a>,311-1136-1-ND
C109 C113 ,2,1nF,Capacitors_SMD:C_0805_HandSoldering,<a href="https://www.digikey.com/products/en?keywords=490-6445-1-ND">Link</a>,490-6445-1-ND
C135 C133 C141 C132 C313 C315 ,6,2.2uF,Capacitors_SMD:C_0805_HandSoldering,<a href="https://www.digikey.com/products/en?keywords=1276-1763-1-ND">Link</a>,1276-1763-1-ND
C134 C136 C314 ,3,470pF,Capacitors_SMD:C_0805_HandSoldering,<a href="https://www.digikey.com/products/en?keywords=311-1119-1-ND">Link</a>,311-1119-1-ND
C123 C131 ,2,1100pF,Capacitors_SMD:C_0805_HandSoldering,<a href="https://www.digikey.com/products/en?keywords=399-14552-1-ND">Link</a>,399-14552-1-ND
C122 ,1,470nF,Capacitors_SMD:C_0805_HandSoldering,<a href="https://www.digikey.com/products/en?keywords=478-1395-1-ND">Link</a>,478-1395-1-ND
C120 C310 C312 ,3,470nF,Capacitors_SMD:C_0805_HandSoldering,<a href="https://www.digikey.com/products/en?keywords=399-8100-1-ND">Link</a>,399-8100-1-ND
C126 ,1,1800pF,Capacitors_SMD:C_0805_HandSoldering,<a href="https://www.digikey.com/products/en?keywords=445-5752-1-ND">Link</a>,445-5752-1-ND
C130 C103 ,2,20pF,Capacitors_SMD:C_0805_HandSoldering,<a href="https://www.digikey.com/products/en?keywords=478-10507-1-ND">Link</a>,478-10507-1-ND
C128 ,1,91pF,Capacitors_SMD:C_0805_HandSoldering,<a href="https://www.digikey.com/products/en?keywords=399-17459-1-ND">Link</a>,399-17459-1-ND
C125 C119 C214 ,3,47uF low ESR,Capacitors_SMD:C_2917_7343_Metric_HandSoldering,<a href="https://www.digikey.com/products/en?keywords=399-3885-1-ND">Link</a>,399-3885-1-ND
C137 C501 C502 C503 C504 ,5,np,Capacitors_SMD:C_0805_HandSoldering,np,np
C139 ,1,33pF,Capacitors_SMD:C_0805_HandSoldering,<a href="https://www.digikey.com/products/en?keywords=311-1105-1-ND">Link</a>,311-1105-1-ND
C140 ,1,8-50pF,Capacitors_SMD:KNOWLES-JZ500_Handsolder,<a href="https://www.digikey.com/products/en?keywords=1674-1007-1-ND">Link</a>,1674-1007-1-ND
C117 C210 ,2,22uF,Capacitors_SMD:C_1210_HandSoldering,<a href="https://www.digikey.com/products/en?keywords=1276-3373-1-ND">Link</a>,1276-3373-1-ND
C105 C106 C101 C118 C211 C212 C202 C204 C209 C206 C308 C306 C307 C309 C311 C316 C302 C303 ,18,100nF,Capacitors_SMD:C_0805_HandSoldering,<a href="https://www.digikey.com/products/en?keywords=478-1395-1-ND">Link</a>,478-1395-1-ND
C121 ,1,100pF,Capacitors_SMD:C_0805_HandSoldering,<a href="https://www.digikey.com/products/en?keywords=399-1122-1-ND">Link</a>,399-1122-1-ND
C104 ,1,68pF,Capacitors_SMD:C_0805_HandSoldering,<a href="https://www.digikey.com/products/en?keywords=399-1119-1-ND">Link</a>,399-1119-1-ND
C144 C108 C111 ,3,1nF,Capacitors_SMD:C_0805_HandSoldering,<a href="https://www.digikey.com/products/en?keywords=311-1472-1-ND">Link</a>,311-1472-1-ND
C107 ,1,np,Capacitors_SMD:C_1210_HandSoldering,np,np
C102 ,1,10uF,Capacitors_SMD:C_0805_HandSoldering,<a href="https://www.digikey.com/products/en?keywords=490-5523-1-ND">Link</a>,490-5523-1-ND
C112 ,1,33pF,Capacitors_SMD:C_0805_HandSoldering,<a href="https://www.digikey.com/products/en?keywords=399-7157-1-ND">Link</a>,399-7157-1-ND
C213 C301 ,2,1uF,Capacitors_SMD:C_0805_HandSoldering,<a href="https://www.digikey.com/products/en?keywords=311-1365-1-ND">Link</a>,311-1365-1-ND
C201 C203 C205 C304 C305 ,5,10uF,Capacitors_SMD:C_0805_HandSoldering,<a href="https://www.digikey.com/products/en?keywords=1276-2399-1-ND">Link</a>,1276-2399-1-ND
C207 ,1,270pF,Capacitors_SMD:C_0805_HandSoldering,<a href="https://www.digikey.com/products/en?keywords=1276-2624-1-ND">Link</a>,1276-2624-1-ND
C208 ,1,10pF,Capacitors_SMD:C_0805_HandSoldering,<a href="https://www.digikey.com/products/en?keywords=478-10457-1-ND">Link<a/>,478-10457-1-ND
D102 ,1,4.7V,Diodes_SMD:SOD-123_Handsolder,<a href="https://www.digikey.com/products/en?keywords=BZT52C4V7-13FDICT-ND">Link</a>,BZT52C4V7-13FDICT-ND
D103 D104 ,2,5V,Diodes_SMD:SOD-323F_Handsolder,<a href="https://www.digikey.com/product-detail/en/comchip-technology/CPDFR5V0/641-1219-1-ND/1678637">Link</a>,641-1219-1-ND
D303 D101 ,2,MBD54DWT1G_Schottky_Ind,TO_SOT_Packages_SMD:SOT-363_Handsolder,<a href="https://www.digikey.com/products/en?keywords=MBD54DWT1GOSCT-ND">Link</a>,MBD54DWT1GOSCT-ND
D105 D301 ,2,D_Schottky_x2_KCom_Dual,TO_SOT_Packages_SMD:SOT-363_Handsolder,<a href="https://www.digikey.com/products/en?keywords=BAT54CDW-FDICT-ND">Link</a>,BAT54CDW-FDICT-ND
D201 ,1,B530,Diodes_SMD:DO-214AB_Handsoldering,<a href="https://www.digikey.com/products/en?keywords=B530C-FDICT-ND">Link</a>,B530C-FDICT-ND
HS101 ,1,Heat-sink,Heatsinks:Heatsink_HF35G,<a href="https://www.digikey.com/products/en?keywords=HF35G-ND">Link</a>,HF35G-ND
J502 J503 J505 J507 ,4,DET,Pin_Headers:Pin_Header_Straight_1x01_circle_pad,np,np
J202 J201 ,2,JUMPERx3_1-2_NC,Wire_Connections_Bridges:Solder-Jumperx3-NC_1-2_SMD-Pad_Small,np,np
J203 ,1,V4,Pin_Headers:Pin_Header_Straight_1x01_circle_pad,np,np
J305 J306 J304 J303 J308 J301 ,6,Jumper_NO_Small,Wire_Connections_Bridges:Solder-Jumper-NO-SMD-Pad_Small,np,np
J307 J302 ,2,Jumper_NC_Small,Wire_Connections_Bridges:Solder-Jumper-NC-SMD-Pad_Small,np,np
