Ref,Qty,Value,Footprint,Link,Part No.,
BOX401 ,1,Chassis Box,Oddities:Dummy_Empty,<a href="https://www.digikey.com/products/en?keywords=1554F2GYCL">Link</a>,HM1796-ND
BT301 ,1,CR1220,Oddities:BC501SM_CR1220_BAT_Handsolder,<a href="https://www.digikey.com/products/en?keywords=BC501SM-ND">Link</a>,BC501SM-ND
C110 ,1,10nF,Capacitors_SMD:C_0805_HandSoldering,<a href="http://www.digikey.com/products/en?keywords=311-1136-1-ND">Link</a>,311-1136-1-ND
C109 C113 C144 C108 C111 ,5,1nF,Capacitors_SMD:C_0805_HandSoldering,<a href="https://www.digikey.com/products/en?keywords=490-6445-1-ND">Link</a>,490-6445-1-ND
C135 C133 C141 C132 C313 C315 C314 C317 ,8,2.2uF,Capacitors_SMD:C_0805_HandSoldering,<a href="https://www.digikey.com/products/en?keywords=1276-1763-1-ND">Link</a>,1276-1763-1-ND
C123 C131 ,2,1100pF,Capacitors_SMD:C_0805_HandSoldering,<a href="https://www.digikey.com/products/en?keywords=399-14552-1-ND">Link</a>,399-14552-1-ND
C122 C120 C310 C312 ,4,470nF,Capacitors_SMD:C_0805_HandSoldering,<a href="https://www.digikey.com/products/en?keywords=478-9924-1-ND">Link</a>,478-9924-1-ND
C126 ,1,1800pF,Capacitors_SMD:C_0805_HandSoldering,<a href="https://www.digikey.com/products/en?keywords=445-5752-1-ND">Link</a>,445-5752-1-ND
C130 C103 ,2,20pF,Capacitors_SMD:C_0805_HandSoldering,<a href="https://www.digikey.com/products/en?keywords=478-10507-1-ND">Link</a>,478-10507-1-ND
C128 ,1,91pF,Capacitors_SMD:C_0805_HandSoldering,<a href="https://www.digikey.com/products/en?keywords=399-17459-1-ND">Link</a>,399-17459-1-ND
C125 C119 C214 ,3,47uF low ESR,Capacitors_SMD:C_2917_7343_Metric_HandSoldering,<a href="https://www.digikey.com/products/en?keywords=399-3885-1-ND">Link</a>,399-3885-1-ND
C117 C210 ,2,22uF,Capacitors_SMD:C_1210_HandSoldering,<a href="https://www.digikey.com/products/en?keywords=1276-3373-1-ND">Link</a>,1276-3373-1-ND
C105 C118 C211 C212 C202 C204 C308 C306 C307 C309 C311 C316 C302 C303 ,14,100nF,Capacitors_SMD:C_0805_HandSoldering,<a href="https://www.digikey.com/products/en?keywords=478-1395-1-ND">Link</a>,478-1395-1-ND
C121 ,1,100pF,Capacitors_SMD:C_0805_HandSoldering,<a href="https://www.digikey.com/products/en?keywords=399-1122-1-ND">Link</a>,399-1122-1-ND
C104 ,1,68pF,Capacitors_SMD:C_0805_HandSoldering,<a href="https://www.digikey.com/products/en?keywords=399-1119-1-ND">Link</a>,399-1119-1-ND
C501 C502 C503 C504 ,4,np,Capacitors_SMD:C_0805_HandSoldering,np,np
C106 ,1,10nF,Capacitors_SMD:C_0805_HandSoldering,<a href="https://www.digikey.com/products/en?keywords=311-1136-1-ND">Link</a>,311-1136-1-ND
C102 C101 C201 C203 C205 C304 C305 ,7,10uF,Capacitors_SMD:C_0805_HandSoldering,<a href="https://www.digikey.com/products/en?keywords=490-5523-1-ND">Link</a>,490-5523-1-ND
C112 ,1,33pF,Capacitors_SMD:C_0805_HandSoldering,<a href="https://www.digikey.com/products/en?keywords=399-8061-1-ND">Link</a>,399-8061-1-ND
C213 C301 ,2,1uF,Capacitors_SMD:C_0805_HandSoldering,<a href="https://www.digikey.com/products/en?keywords=311-1365-1-ND">Link</a>,311-1365-1-ND
C207 ,1,270pF,Capacitors_SMD:C_0805_HandSoldering,<a href="https://www.digikey.com/products/en?keywords=1276-2624-1-ND">Link</a>,1276-2624-1-ND
C208 ,1,10pF,Capacitors_SMD:C_0805_HandSoldering,<a href="https://www.digikey.com/products/en?keywords=478-10457-1-ND">Link<a/>,478-10457-1-ND
D102 D302 ,2,4.7V,Diodes_SMD:SOD-123_Handsolder,<a href="https://www.digikey.com/products/en?keywords=BZT52C4V7-13FDICT-ND">Link</a>,BZT52C4V7-13FDICT-ND
D103 D104 ,2,5V,Diodes_SMD:SOD-323F_Handsolder,<a href="https://www.digikey.com/product-detail/en/comchip-technology/CPDFR5V0/641-1219-1-ND/1678637">Link</a>,641-1219-1-ND
D303 ,1,MBD54DWT1G_Schottky_Ind,TO_SOT_Packages_SMD:SOT-363_Handsolder,<a href="https://www.digikey.com/products/en?keywords=MBD54DWT1GOSCT-ND">Link</a>,MBD54DWT1GOSCT-ND
D301 ,1,D_Schottky_x2_KCom_Dual,TO_SOT_Packages_SMD:SOT-363_Handsolder,<a href="https://www.digikey.com/products/en?keywords=BAT54CDW-FDICT-ND">Link</a>,BAT54CDW-FDICT-ND
D201 ,1,B530,Diodes_SMD:DO-214AB_Handsoldering,<a href="https://www.digikey.com/products/en?keywords=B530C-FDICT-ND">Link</a>,B530C-FDICT-ND
HS101 ,1,Heatsink,Heatsinks:Heatsink_HF35G,<a href="https://www.digikey.com/products/en?keywords=HS220-ND">Link</a>,HS220-ND
J502 J503 J505 J507 ,4,DET,Pin_Headers:Pin_Header_Straight_1x01_circle_pad,np,np
J203 ,1,V4,Pin_Headers:Pin_Header_Straight_1x01_circle_pad,np,np
J307 ,1,Jumper_NC_Small,Wire_Connections_Bridges:Solder-Jumper-NC-SMD-Pad_Small,np,np
J401 ,1,CONN_01X06,Oddities:Dummy_Empty,<a href="https://www.digikey.com/product-detail/en/sullins-connector-solutions/NPPC061KFXC-RC/S5637-ND/776096">Link</a>,S5637-ND
J402 J403 ,2,CONN_01X10,Oddities:Dummy_Empty,<a href="https://www.digikey.com/product-detail/en/sullins-connector-solutions/NPPC101KFXC-RC/S5641-ND/776100">Link</a>,S5641-ND
L106 L108 ,2,2.7uH,Inductors:Toroid_T-60_2TH_Vertical,<a href="http://www.amidoncorp.com/t60-2/">Link</a>,T60-2
L102 ,1,470nH,Inductors:L_0805_2015_Handsolder,<a href="https://www.digikey.com/products/en?keywords=CW201212-R47JCT-ND">Link</a>,CW201212-R47JCT-ND
L111 ,1,56nH,Inductors:Wurth_744912212,<a href="https://www.digikey.com/products/en?keywords=732-5641-1-ND">Link</a>,732-5641-1-ND
L104 ,1,9T #24 Bifilar T50-43,Inductors:Toroid_T-50A_TH_BF_CT_Vertical,<a href="http://www.amidoncorp.com/ft-50A-43/">Link</a>,Amidon FT50A-43
L101 ,1,82nH,Inductors:Wurth_744912212,<a href="https://www.digikey.com/products/en?keywords=732-5643-1-ND">Link</a>,732-5643-1-ND
